dataset_id,country,longitude,latitude,planting_date,crop,N_fertilizer,P_fertilizer,K_fertilizer,yield,harvest_date,Total_rain,N_rain_days,N_dry_days,rain.max,rain.av,rain.30,rain.60,rain.90,rain_end,N_days_bFRAP,Tmean,therma_sum30,therma_sum60,therma_sum90,therma_sum100,therma_sum,soil_N,soil_sand,soil_silt,soil_clay,soil_phh2o,soil_SOC,Tmean.1,TMIN,TMAX,SRAD,tmax (°C),precipitation (mm)
hdl_11529_10548238,Nigeria,7.45851,11.61091,2015-02-12,maize,140.0,21.8340611353712,41.4903327524687,7061.19363042187,2015-06-12,95.9928679466248,24,97,8.99428272247314,0.793329487162188,0.0,13.9436087608337,13.5312757492065,68.5179834365845,41,27.4793388429752,744,1579,926,2729,3325,0.054,43.6666666666667,31.1666666666667,25.1833333333333,6.3,0.563333333333333,27.4793388429752,20.702479338843,35.0082644628099,24.8605900578512,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36272,11.52981,2015-02-12,maize,140.0,21.8340611353712,0.0,6083.81231733886,2015-06-12,103.223710894585,26,95,9.26697540283203,0.853088519789956,0.0,11.9746198654175,17.0787391662598,74.1703518629074,42,27.3305785123967,754,1589,908,2724,3307,0.0525,40.1666666666667,32.9,26.95,6.38333333333333,0.603333333333333,27.3305785123967,20.7190082644628,34.6942148760331,24.6438653884298,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.341,11.73731,2016-06-18,maize,0.0,0.0,0.0,2337.76091081594,2016-10-16,574.40669298172,64,57,27.3872814178467,4.74716275191504,139.090920448303,219.031512498856,142.483484268188,73.8007757663727,2,24.2809917355372,735,1449,794,2410,2938,0.0536666666666667,55.9833333333333,20.6166666666667,23.3833333333333,6.4,0.59,24.2809917355372,20.6446280991736,29.1239669421488,20.0192606528926,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.341,11.73731,2016-06-18,maize,0.0,21.8340611353712,41.4903327524687,3393.07757885763,2016-10-16,574.40669298172,64,57,27.3872814178467,4.74716275191504,139.090920448303,219.031512498856,142.483484268188,73.8007757663727,2,24.2809917355372,735,1449,794,2410,2938,0.0536666666666667,55.9833333333333,20.6166666666667,23.3833333333333,6.4,0.59,24.2809917355372,20.6446280991736,29.1239669421488,20.0192606528926,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.341,11.73731,2016-06-18,maize,140.0,0.0,41.4903327524687,4586.35294117647,2016-10-16,574.40669298172,64,57,27.3872814178467,4.74716275191504,139.090920448303,219.031512498856,142.483484268188,73.8007757663727,2,24.2809917355372,735,1449,794,2410,2938,0.0536666666666667,55.9833333333333,20.6166666666667,23.3833333333333,6.4,0.59,24.2809917355372,20.6446280991736,29.1239669421488,20.0192606528926,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.341,11.73731,2016-06-18,maize,140.0,21.8340611353712,0.0,5655.81699346405,2016-10-16,574.40669298172,64,57,27.3872814178467,4.74716275191504,139.090920448303,219.031512498856,142.483484268188,73.8007757663727,2,24.2809917355372,735,1449,794,2410,2938,0.0536666666666667,55.9833333333333,20.6166666666667,23.3833333333333,6.4,0.59,24.2809917355372,20.6446280991736,29.1239669421488,20.0192606528926,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.341,11.73731,2016-06-18,maize,140.0,21.8340611353712,41.4903327524687,4605.22727272727,2016-10-16,574.40669298172,64,57,27.3872814178467,4.74716275191504,139.090920448303,219.031512498856,142.483484268188,73.8007757663727,2,24.2809917355372,735,1449,794,2410,2938,0.0536666666666667,55.9833333333333,20.6166666666667,23.3833333333333,6.4,0.59,24.2809917355372,20.6446280991736,29.1239669421488,20.0192606528926,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.37933,11.75949,2016-06-18,maize,0.0,0.0,0.0,666.048722519311,2016-10-16,580.7824010849,60,61,29.7885494232178,4.79985455442066,134.535034894943,232.507499694824,127.752387046814,85.9874794483185,2,24.702479338843,746,1471,813,2448,2989,0.0521666666666667,54.65,22.2166666666667,23.1333333333333,6.33333333333333,0.611666666666667,24.702479338843,21.0165289256198,29.595041322314,20.2248786363636,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.45143,11.6201,2016-06-18,maize,140.0,21.8340611353712,41.4903327524687,7592.27941176471,2016-10-16,600.086182653904,65,56,23.6672630310059,4.95938993928846,149.222223520279,216.137217998505,143.984579086304,90.7421620488167,2,24.3388429752066,737,1455,795,2416,2945,0.0726666666666667,44.2666666666667,31.3166666666667,24.4166666666667,6.4,0.618333333333333,24.3388429752066,20.6280991735537,29.0743801652893,20.2457296115702,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36067,11.53085,2016-06-18,maize,0.0,0.0,0.0,3317.68249468462,2016-10-16,615.697740674019,69,52,34.4315605163574,5.08841107995057,149.237446308136,221.049402713776,142.488075256348,102.92281639576,2,23.8347107438017,718,1421,781,2364,2884,0.052,40.0666666666667,32.75,27.1666666666667,6.41666666666667,0.588333333333333,23.8347107438017,20.3801652892562,28.5371900826446,19.8203279669421,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36067,11.53085,2016-06-18,maize,0.0,21.8340611353712,41.4903327524687,1574.3081232493,2016-10-16,615.697740674019,69,52,34.4315605163574,5.08841107995057,149.237446308136,221.049402713776,142.488075256348,102.92281639576,2,23.8347107438017,718,1421,781,2364,2884,0.052,40.0666666666667,32.75,27.1666666666667,6.41666666666667,0.588333333333333,23.8347107438017,20.3801652892562,28.5371900826446,19.8203279669421,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36067,11.53085,2016-06-18,maize,140.0,0.0,41.4903327524687,4298.62912686442,2016-10-16,615.697740674019,69,52,34.4315605163574,5.08841107995057,149.237446308136,221.049402713776,142.488075256348,102.92281639576,2,23.8347107438017,718,1421,781,2364,2884,0.052,40.0666666666667,32.75,27.1666666666667,6.41666666666667,0.588333333333333,23.8347107438017,20.3801652892562,28.5371900826446,19.8203279669421,33.377359008789085,0.0
